,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
305,,,EPI_ISL_2122857,,,hCoV-19/Scotland/QEUH-1549A23/2021,,alpha
306,,,EPI_ISL_991289,,,hCoV-19/Wales/ALDP-115D56B/2021,,alpha
307,,,EPI_ISL_1700032,,,hCoV-19/England/ALDP-14F4071/2021,,alpha
308,,,EPI_ISL_1448982,,,hCoV-19/England/QEUH-1469C28/2021,,alpha
309,,,EPI_ISL_1248832,,,hCoV-19/England/NORT-1B8A316/2021,,alpha
310,,,EPI_ISL_1276903,,,hCoV-19/England/CAMC-139C9CC/2021,,alpha
311,,,EPI_ISL_1472686,,,hCoV-19/England/MILK-14738BE/2021,,alpha
312,,,EPI_ISL_1294770,,,hCoV-19/Scotland/QEUH-13AA390/2021,,alpha
313,,,EPI_ISL_1375414,,,hCoV-19/England/ALDP-140CAC3/2021,,alpha
314,,,EPI_ISL_2120466,,,hCoV-19/Scotland/QEUH-1566273/2021,,alpha
315,,,EPI_ISL_1387761,,,hCoV-19/England/PHWC-4DB26E/2021,,alpha
316,,,EPI_ISL_782740,,,hCoV-19/England/MILK-C304F0/2020,,alpha
317,,,EPI_ISL_1413870,,,hCoV-19/England/QEUH-142F875/2021,,alpha
318,,,EPI_ISL_1544788,,,hCoV-19/Scotland/QEUH-14CA092/2021,,alpha
319,,,EPI_ISL_1264911,,,hCoV-19/Northern Ireland/RAND-12D7AF0/2021,,alpha
320,,,EPI_ISL_947548,,,hCoV-19/England/ALDP-114D953/2021,,alpha
321,,,EPI_ISL_1594950,,,hCoV-19/England/ALDP-14E397A/2021,,alpha
322,,,EPI_ISL_1448977,,,hCoV-19/England/MILK-14669BB/2021,,alpha
323,,,EPI_ISL_1519337,,,hCoV-19/England/ALDP-14A9169/2021,,alpha
324,,,EPI_ISL_1450912,,,hCoV-19/England/MILK-14574CB/2021,,alpha
325,,,EPI_ISL_1978055,,,hCoV-19/Northern Ireland/NIRE-001927/2021,,alpha
326,,,EPI_ISL_2152979,,,hCoV-19/Scotland/QEUH-1578C07/2021,,alpha
327,,,EPI_ISL_2539329,,,hCoV-19/England/MILK-1607A99/2021,,alpha
328,,,EPI_ISL_1630802,,,hCoV-19/England/ALDP-14937F7/2021,,alpha
329,,,EPI_ISL_1050345,,,hCoV-19/England/EXET-145B67/2021,,alpha
330,,,EPI_ISL_1244558,,,hCoV-19/England/ALDP-13792F7/2021,,alpha
331,,,EPI_ISL_909476,,,hCoV-19/England/ALDP-10B7D1D/2021,,alpha
332,,,EPI_ISL_1104998,,,hCoV-19/England/LOND-1328901/2020,,alpha
333,,,EPI_ISL_2975083,,,hCoV-19/Northern Ireland/RAND-183468E/2021,,alpha
334,,,EPI_ISL_957294,,,hCoV-19/England/QEUH-11CADBC/2021,,alpha
335,,,EPI_ISL_1109130,,,hCoV-19/England/RAND-125A257/2021,,alpha
336,,,EPI_ISL_992761,,,hCoV-19/England/ALDP-10E8DE6/2021,,alpha
337,,,EPI_ISL_1205715,,,hCoV-19/England/ALDP-136D0A1/2021,,alpha
338,,,EPI_ISL_1829763,,,hCoV-19/England/MILK-1531806/2021,,alpha
339,,,EPI_ISL_1485433,,,hCoV-19/England/QEUH-1498E0C/2021,,alpha
340,,,EPI_ISL_1345169,,,hCoV-19/England/QEUH-13DF8FD/2021,,alpha
341,,,EPI_ISL_1309512,,,hCoV-19/England/NORT-1B8AE8E/2021,,alpha
342,,,EPI_ISL_1454647,,,hCoV-19/England/ALDP-143BD1D/2021,,alpha
343,,,EPI_ISL_946929,,,hCoV-19/England/ALDP-1195E6C/2021,,alpha
344,,,EPI_ISL_878866,,,hCoV-19/England/ALDP-1036D07/2021,,alpha
345,,,EPI_ISL_1328161,,,hCoV-19/England/QEUH-13DC131/2021,,alpha
346,,,EPI_ISL_1830443,,,hCoV-19/England/ALDP-1534241/2021,,alpha
347,,,EPI_ISL_1518569,,,hCoV-19/England/ALDP-14B3014/2021,,alpha
348,,,EPI_ISL_1507869,,,hCoV-19/Scotland/QEUH-145DC27/2021,,alpha
349,,,EPI_ISL_1730362,,,hCoV-19/England/LOND-134A893/2021,,alpha
350,,,EPI_ISL_990019,,,hCoV-19/Wales/ALDP-118B7F5/2021,,alpha
351,,,EPI_ISL_1223852,,,hCoV-19/England/MILK-136C2AC/2021,,alpha
352,,,EPI_ISL_991177,,,hCoV-19/Wales/ALDP-114FDDD/2021,,alpha
353,,,EPI_ISL_811371,,,hCoV-19/England/QEUH-E4B250/2021,,alpha
354,,,EPI_ISL_1189773,,,hCoV-19/England/MILK-133ACB8/2021,,alpha
355,,,EPI_ISL_778148,,,hCoV-19/England/CAMC-CB8DF5/2020,,alpha
356,,,EPI_ISL_1758535,,,hCoV-19/England/MILK-151E061/2021,,alpha
357,,,EPI_ISL_1276322,,,hCoV-19/England/QEUH-13A7D1D/2021,,alpha
358,,,EPI_ISL_1187538,,,hCoV-19/England/QEUH-1333FD4/2021,,alpha
359,,,EPI_ISL_800955,,,hCoV-19/England/CAMC-BC10C4/2020,,alpha
360,,,EPI_ISL_957233,,,hCoV-19/England/MILK-11D80A3/2021,,alpha
361,,,EPI_ISL_2005747,,,hCoV-19/England/ALDP-152A554/2021,,alpha
362,,,EPI_ISL_1324880,,,hCoV-19/England/QEUH-13E4E02/2021,,alpha
363,,,EPI_ISL_1050648,,,hCoV-19/England/MILK-11A5DF3/2021,,alpha
364,,,EPI_ISL_1247555,,,hCoV-19/England/BRIS-26325E/2021,,alpha
365,,,EPI_ISL_2540169,,,hCoV-19/England/MILK-163FBFF/2021,,alpha
366,,,EPI_ISL_1594642,,,hCoV-19/England/QEUH-14E14F3/2021,,alpha
367,,,EPI_ISL_1005729,,,hCoV-19/England/CAMC-12550DA/2021,,alpha
368,,,EPI_ISL_1069672,,,hCoV-19/England/MILK-12B60E6/2021,,alpha
369,,,EPI_ISL_852117,,,hCoV-19/England/MILK-F9E378/2021,,alpha
370,,,EPI_ISL_957142,,,hCoV-19/England/MILK-11D8304/2021,,alpha
371,,,EPI_ISL_839125,,,hCoV-19/England/LOND-12F40BF/2021,,alpha
372,,,EPI_ISL_1063218,,,hCoV-19/Northern Ireland/RAND-12682ED/2021,,alpha
373,,,EPI_ISL_992833,,,hCoV-19/England/ALDP-10EED77/2021,,alpha
374,,,EPI_ISL_1410399,,,hCoV-19/England/ALDP-143F0A7/2021,,alpha
375,,,EPI_ISL_891694,,,hCoV-19/England/QEUH-10BA4F7/2021,,alpha
376,,,EPI_ISL_2119230,,,hCoV-19/England/ALDP-156F395/2021,,alpha
377,,,EPI_ISL_1594866,,,hCoV-19/England/CAMC-14E31CD/2021,,alpha
378,,,EPI_ISL_2121350,,,hCoV-19/England/MILK-1567B77/2021,,alpha
379,,,EPI_ISL_1310293,,,hCoV-19/England/PORT-1E792CF/2021,,alpha
380,,,EPI_ISL_1410535,,,hCoV-19/Scotland/QEUH-143ED92/2021,,alpha
381,,,EPI_ISL_946348,,,hCoV-19/England/MILK-1192E14/2021,,alpha
382,,,EPI_ISL_945408,,,hCoV-19/England/ALDP-119D286/2021,,alpha
383,,,EPI_ISL_1186667,,,hCoV-19/England/ALDP-1365294/2021,,alpha
384,,,EPI_ISL_1315716,,,hCoV-19/Scotland/QEUH-13E03E9/2021,,alpha
385,,,EPI_ISL_1186288,,,hCoV-19/England/ALDP-136024E/2021,,alpha
386,,,EPI_ISL_1316873,,,hCoV-19/Scotland/QEUH-13D5578/2021,,alpha
387,,,EPI_ISL_2122708,,,hCoV-19/Scotland/QEUH-15499BD/2021,,alpha
388,,,EPI_ISL_1476108,,,hCoV-19/Wales/PHWC-PYBQ75/2021,,alpha
389,,,EPI_ISL_1476160,,,hCoV-19/Wales/PHWC-PYBSCS/2021,,alpha
390,,,EPI_ISL_921999,,,hCoV-19/England/NOTT-249E96/2021,,alpha
391,,,EPI_ISL_2515461,,,hCoV-19/England/MILK-163A6D5/2021,,alpha
392,,,EPI_ISL_1108636,,,hCoV-19/England/QEUH-12588A2/2021,,alpha
393,,,EPI_ISL_1790218,,,hCoV-19/England/MILK-151F23D/2021,,alpha
394,,,EPI_ISL_1071513,,,hCoV-19/England/QEUH-12B7908/2021,,alpha
395,,,EPI_ISL_1249539,,,hCoV-19/Wales/PHWC-4D8D8E/2021,,alpha
396,,,EPI_ISL_1327241,,,hCoV-19/England/CAMC-13DD0CA/2021,,alpha
397,,,EPI_ISL_1264355,,,hCoV-19/England/ALDP-13A1BBF/2021,,alpha
398,,,EPI_ISL_1057687,,,hCoV-19/England/ALDP-1299F46/2021,,alpha
399,,,EPI_ISL_1062873,,,hCoV-19/England/QEUH-12A9963/2021,,alpha
400,,,EPI_ISL_1190597,,,hCoV-19/Scotland/QEUH-12FE792/2021,,alpha
401,,,EPI_ISL_939539,,,hCoV-19/England/QEUH-114D1F1/2021,,alpha
402,,,EPI_ISL_924488,,,hCoV-19/England/TFCI-27003A0/2020,,alpha
403,,,EPI_ISL_1256423,,,hCoV-19/England/CAMC-1381010/2021,,alpha
404,,,EPI_ISL_908374,,,hCoV-19/England/ALDP-10E37ED/2021,,alpha
405,,,EPI_ISL_1012302,,,hCoV-19/England/CAMC-125318E/2021,,alpha
406,,,EPI_ISL_956551,,,hCoV-19/England/ALDP-11A98D0/2021,,alpha
407,,,EPI_ISL_1616514,,,hCoV-19/Scotland/QEUH-14D1818/2021,,alpha
408,,,EPI_ISL_1189487,,,hCoV-19/England/MILK-135416E/2021,,alpha
409,,,EPI_ISL_2447484,,,hCoV-19/England/ALDP-15F23D3/2021,,alpha
410,,,EPI_ISL_1072021,,,hCoV-19/England/ALDP-12B9B2E/2021,,alpha
411,,,EPI_ISL_1069529,,,hCoV-19/England/QEUH-12B7B4E/2021,,alpha
412,,,EPI_ISL_846509,,,hCoV-19/England/CAMC-F01817/2021,,alpha
413,,,EPI_ISL_756728,,,hCoV-19/England/MILK-C7B532/2020,,alpha
414,,,EPI_ISL_720659,,,hCoV-19/England/MILK-BAB8B9/2020,,alpha
415,,,EPI_ISL_2606841,,,hCoV-19/England/ALDP-1698857/2021,,alpha
416,,,EPI_ISL_1327091,,,hCoV-19/England/ALDP-13DB6E8/2021,,alpha
417,,,EPI_ISL_1546790,,,hCoV-19/Wales/PHWC-PYN7KT/2021,,alpha
418,,,EPI_ISL_868350,,,hCoV-19/England/PORT-2EED96/2021,,alpha
419,,,EPI_ISL_1309435,,,hCoV-19/England/NORT-1B7E227/2021,,alpha
420,,,EPI_ISL_1508090,,,hCoV-19/Scotland/QEUH-1459D37/2021,,alpha
421,,,EPI_ISL_1277357,,,hCoV-19/Scotland/QEUH-12D3C3A/2021,,alpha
422,,,EPI_ISL_1546989,,,hCoV-19/Wales/PHWC-PYNIK3/2021,,alpha
423,,,EPI_ISL_1544330,,,hCoV-19/England/MILK-14CC69E/2021,,alpha
424,,,EPI_ISL_2742473,,,hCoV-19/England/PHEC-30E11B/2021,,alpha
425,,,EPI_ISL_878698,,,hCoV-19/England/ALDP-1064CE5/2021,,alpha
426,,,EPI_ISL_1467819,,,hCoV-19/England/ALDP-1469851/2021,,alpha
427,,,EPI_ISL_1043770,,,hCoV-19/England/ALDP-12A1A3B/2021,,alpha
428,,,EPI_ISL_1342110,,,hCoV-19/England/QEUH-140865A/2021,,alpha
429,,,EPI_ISL_1044485,,,hCoV-19/England/ALDP-1283E06/2021,,alpha
430,,,EPI_ISL_1476365,,,hCoV-19/Wales/PHWC-PYY76C/2021,,alpha
431,,,EPI_ISL_1011804,,,hCoV-19/England/ALDP-125C598/2021,,alpha
432,,,EPI_ISL_2515470,,,hCoV-19/England/MILK-163A884/2021,,alpha
433,,,EPI_ISL_1375292,,,hCoV-19/England/MILK-140FC06/2021,,alpha
434,,,EPI_ISL_939404,,,hCoV-19/England/MILK-1151CF9/2021,,alpha
435,,,EPI_ISL_2005950,,,hCoV-19/England/MILK-1555471/2021,,alpha
436,,,EPI_ISL_2022694,,,hCoV-19/Scotland/QEUH-1538B15/2021,,alpha
437,,,EPI_ISL_2092557,,,hCoV-19/England/ALDP-154913D/2021,,alpha
438,,,EPI_ISL_2393249,,,hCoV-19/England/MILK-15D3AD3/2021,,alpha
439,,,EPI_ISL_1105080,,,hCoV-19/England/LOND-13290A1/2021,,alpha
440,,,EPI_ISL_1978265,,,hCoV-19/Northern Ireland/NIRE-001acb/2021,,alpha
441,,,EPI_ISL_1584769,,,hCoV-19/Scotland/QEUH-14BE1DA/2021,,alpha
442,,,EPI_ISL_2005611,,,hCoV-19/England/ALDP-1540D32/2021,,alpha
443,,,EPI_ISL_1698266,,,hCoV-19/England/ALDP-150848C/2021,,alpha
444,,,EPI_ISL_822220,,,hCoV-19/England/ALDP-DB19E8/2020,,alpha
445,,,EPI_ISL_1206060,,,hCoV-19/England/CAMC-135CA98/2021,,alpha
446,,,EPI_ISL_990686,,,hCoV-19/England/ALDP-1184291/2021,,alpha
447,,,EPI_ISL_1699276,,,hCoV-19/England/MILK-14FA54F/2021,,alpha
448,,,EPI_ISL_921852,,,hCoV-19/England/NORW-225DEE/2021,,alpha
449,,,EPI_ISL_2750856,,,hCoV-19/Scotland/QEUH-1274AD7/2021,,alpha
450,,,EPI_ISL_1730549,,,hCoV-19/England/OXON-F7FC54/2021,,alpha
451,,,EPI_ISL_956493,,,hCoV-19/England/ALDP-11AFBD1/2021,,alpha
452,,,EPI_ISL_1276973,,,hCoV-19/England/CAMC-139B954/2021,,alpha
453,,,EPI_ISL_1329419,,,hCoV-19/England/QEUH-13DE463/2021,,alpha
454,,,EPI_ISL_1326507,,,hCoV-19/England/MILK-13CCC8E/2021,,alpha
455,,,EPI_ISL_1506341,,,hCoV-19/Scotland/QEUH-14A03A8/2021,,alpha
456,,,EPI_ISL_908081,,,hCoV-19/Scotland/QEUH-1066C6B/2021,,alpha
457,,,EPI_ISL_1637413,,,hCoV-19/England/PHWC-PYBUQI/2021,,alpha
458,,,EPI_ISL_1176468,,,hCoV-19/England/ALDP-1295180/2021,,alpha
459,,,EPI_ISL_1506620,,,hCoV-19/Scotland/QEUH-147D3E0/2021,,alpha
460,,,EPI_ISL_2236867,,,hCoV-19/England/ALDP-1574F5D/2021,,alpha
461,,,EPI_ISL_840299,,,hCoV-19/England/OXON-F447B1/2020,,alpha
462,,,EPI_ISL_1276625,,,hCoV-19/England/QEUH-13A8BE5/2021,,alpha
463,,,EPI_ISL_1248339,,,hCoV-19/England/LOND-12FE7DE/2021,,alpha
464,,,EPI_ISL_993516,,,hCoV-19/England/MILK-10B4A82/2021,,alpha
465,,,EPI_ISL_1829525,,,hCoV-19/England/MILK-153195E/2021,,alpha
466,,,EPI_ISL_1411288,,,hCoV-19/England/QEUH-14354E1/2021,,alpha
467,,,EPI_ISL_1274550,,,hCoV-19/England/MILK-13B5E28/2021,,alpha
468,,,EPI_ISL_836514,,,hCoV-19/England/CAMC-ED8CF0/2021,,alpha
469,,,EPI_ISL_1250228,,,hCoV-19/England/SGUH-12DD7/2021,,alpha
470,,,EPI_ISL_2407492,,,hCoV-19/Scotland/QEUH-15CCADD/2021,,alpha
471,,,EPI_ISL_1083237,,,hCoV-19/England/ALDP-12D8CEA/2021,,alpha
472,,,EPI_ISL_835566,,,hCoV-19/England/ALDP-E82BDA/2021,,alpha
473,,,EPI_ISL_949476,,,hCoV-19/England/CAMB-A9F7AD/2021,,alpha
474,,,EPI_ISL_2152711,,,hCoV-19/Scotland/QEUH-1574A10/2021,,alpha
475,,,EPI_ISL_1109243,,,hCoV-19/England/RAND-126860F/2021,,alpha
476,,,EPI_ISL_2436967,,,hCoV-19/England/HSLL-15BC548/2021,,alpha
477,,,EPI_ISL_1332423,,,hCoV-19/England/QEUH-13C16B8/2021,,alpha
478,,,EPI_ISL_839115,,,hCoV-19/England/LOND-12F3F95/2021,,alpha
479,,,EPI_ISL_1388008,,,hCoV-19/Wales/PHWC-PYY1KY/2021,,alpha
480,,,EPI_ISL_1042532,,,hCoV-19/England/QEUH-129E785/2021,,alpha
481,,,EPI_ISL_1740758,,,hCoV-19/England/CAMC-151FDD2/2021,,alpha
482,,,EPI_ISL_1412808,,,hCoV-19/England/ALDP-1441A1D/2021,,alpha
483,,,EPI_ISL_1343094,,,hCoV-19/England/ALDP-1402EC1/2021,,alpha
484,,,EPI_ISL_1330395,,,hCoV-19/England/ALDP-13C8F4D/2021,,alpha
485,,,EPI_ISL_990036,,,hCoV-19/Wales/ALDP-118B968/2021,,alpha
486,,,EPI_ISL_1409323,,,hCoV-19/England/ALDP-1452730/2021,,alpha
487,,,EPI_ISL_1174149,,,hCoV-19/England/CAMC-1329083/2021,,alpha
488,,,EPI_ISL_1453384,,,hCoV-19/England/ALDP-144AB7B/2021,,alpha
489,,,EPI_ISL_1007302,,,hCoV-19/England/CAMC-120A933/2021,,alpha
490,,,EPI_ISL_919983,,,hCoV-19/England/LOND-12E9396/2021,,alpha
491,,,EPI_ISL_1411407,,,hCoV-19/England/QEUH-14356BE/2021,,alpha
492,,,EPI_ISL_857773,,,hCoV-19/England/CAMC-FB38E7/2021,,alpha
493,,,EPI_ISL_924259,,,hCoV-19/England/SHEF-10CFE97/2021,,alpha
494,,,EPI_ISL_1414605,,,hCoV-19/England/ALDP-1427840/2021,,alpha
495,,,EPI_ISL_10127993,,,hCoV-19/Northern Ireland/NIRE-003431/2021,,alpha
496,,,EPI_ISL_1107082,,,hCoV-19/Wales/PHWC-4D17D2/2021,,alpha
497,,,EPI_ISL_1414170,,,hCoV-19/England/ALDP-14298C6/2021,,alpha
498,,,EPI_ISL_1224475,,,hCoV-19/England/MILK-138539B/2021,,alpha
499,,,EPI_ISL_949623,,,hCoV-19/Scotland/CVR6826/2021,,alpha
500,,,EPI_ISL_8537104,,,hCoV-19/England/MILK-30E3D03/2022,,ba_1
501,,,EPI_ISL_8274198,,,hCoV-19/England/MILK-3007219/2021,,ba_1
502,,,EPI_ISL_9993173,,,hCoV-19/England/LSPA-3680B08/2022,,ba_1
503,,,EPI_ISL_10385790,,,hCoV-19/England/DHSC-CYNXRPS/2022,,ba_1
504,,,EPI_ISL_10451181,,,hCoV-19/England/DHSC-CYDUPT4/2021,,ba_1
505,,,EPI_ISL_8497118,,,hCoV-19/Scotland/QEUH-30992C1/2021,,ba_1
506,,,EPI_ISL_9996857,,,hCoV-19/England/LSPA-365CD69/2022,,ba_1
507,,,EPI_ISL_9555528,,,hCoV-19/England/MILK-34B7C43/2022,,ba_1
508,,,EPI_ISL_9748373,,,hCoV-19/Wales/PHWC-P8UR1X/2022,,ba_1
509,,,EPI_ISL_10288559,,,hCoV-19/England/LSPA-376531F/2022,,ba_1
510,,,EPI_ISL_9299390,,,hCoV-19/England/NEWC-33CE20C/2022,,ba_1
511,,,EPI_ISL_9065437,,,hCoV-19/England/MILK-331F1C3/2022,,ba_1
512,,,EPI_ISL_10854792,,,hCoV-19/England/NEWC-38EF6F5/2022,,ba_1
513,,,EPI_ISL_8755047,,,hCoV-19/England/QEUH-31CB34A/2022,,ba_1
514,,,EPI_ISL_9318269,,,hCoV-19/England/QEUH-33F3FCB/2022,,ba_1
515,,,EPI_ISL_9564944,,,hCoV-19/England/QEUH-34936E5/2022,,ba_1
516,,,EPI_ISL_10383864,,,hCoV-19/England/DHSC-CYNQPMU/2022,,ba_1
517,,,EPI_ISL_10471281,,,hCoV-19/England/DHSC-CYYUYK3/2021,,ba_1
518,,,EPI_ISL_10329578,,,hCoV-19/Scotland/SCOT-5342/2022,,ba_1
519,,,EPI_ISL_8968152,,,hCoV-19/England/BRBR-328C177/2022,,ba_1
520,,,EPI_ISL_8271968,,,hCoV-19/England/HSLL-2FFECB1/2021,,ba_1
521,,,EPI_ISL_9787938,,,hCoV-19/England/LSPA-35614E5/2022,,ba_1
522,,,EPI_ISL_8455636,,,hCoV-19/England/BRBR-303F3BB/2021,,ba_1
523,,,EPI_ISL_8861860,,,hCoV-19/England/ALDP-3233C32/2022,,ba_1
524,,,EPI_ISL_11224906,,,hCoV-19/England/PHEC-YYDGKND/2022,,ba_1
525,,,EPI_ISL_10687707,,,hCoV-19/England/MILK-3868445/2022,,ba_1
526,,,EPI_ISL_8964505,,,hCoV-19/Scotland/QEUH-328EEE7/2022,,ba_1
527,,,EPI_ISL_8705099,,,hCoV-19/England/NORT-YBGBNQ/2021,,ba_1
528,,,EPI_ISL_10060295,,,hCoV-19/England/PHEC-YYNQSEH/2022,,ba_1
529,,,EPI_ISL_9316350,,,hCoV-19/England/MILK-33FE94A/2022,,ba_1
530,,,EPI_ISL_9816719,,,hCoV-19/Wales/PHWC-P8HF5K/2022,,ba_1
531,,,EPI_ISL_9561600,,,hCoV-19/England/MILK-349AF2F/2022,,ba_1
532,,,EPI_ISL_9586494,,,hCoV-19/England/LSPA-34BCDE1/2022,,ba_1
533,,,EPI_ISL_9598449,,,hCoV-19/England/LSPA-34E8599/2022,,ba_1
534,,,EPI_ISL_7895805,,,hCoV-19/England/BRBR-2E8D650/2021,,ba_1
535,,,EPI_ISL_10109042,,,hCoV-19/England/LSPA-36AE560/2022,,ba_1
536,,,EPI_ISL_10348790,,,hCoV-19/England/DHSC-CYB3T3H/2022,,ba_1
537,,,EPI_ISL_10479300,,,hCoV-19/England/QEUH-3738A89/2022,,ba_1
538,,,EPI_ISL_10571370,,,hCoV-19/England/MILK-38603F5/2022,,ba_1
539,,,EPI_ISL_10853490,,,hCoV-19/Scotland/QEUH-38CDBA3/2022,,ba_1
540,,,EPI_ISL_10488640,,,hCoV-19/England/LSPA-36F5BE0/2022,,ba_1
541,,,EPI_ISL_10355124,,,hCoV-19/England/DHSC-CYBHZZW/2021,,ba_1
542,,,EPI_ISL_9299575,,,hCoV-19/Scotland/QEUH-33C541E/2022,,ba_1
543,,,EPI_ISL_9130830,,,hCoV-19/England/MILK-3335482/2022,,ba_1
544,,,EPI_ISL_10884718,,,hCoV-19/England/MILK-390BA41/2022,,ba_1
545,,,EPI_ISL_10443707,,,hCoV-19/England/DHSC-CYBWPKJ/2021,,ba_1
546,,,EPI_ISL_10351768,,,hCoV-19/England/DHSC-CYB9XF5/2022,,ba_1
547,,,EPI_ISL_8521026,,,hCoV-19/England/MILK-30CEA25/2021,,ba_1
548,,,EPI_ISL_8959811,,,hCoV-19/England/PHEP-YYDC1SG/2022,,ba_1
549,,,EPI_ISL_8891966,,,hCoV-19/Wales/PHWC-PG4YQX/2021,,ba_1
550,,,EPI_ISL_9613225,,,hCoV-19/England/NEWC-34E564E/2022,,ba_1
551,,,EPI_ISL_8843047,,,hCoV-19/England/PHEP-YYDJM15/2021,,ba_1
552,,,EPI_ISL_9620687,,,hCoV-19/England/MILK-34CDF41/2022,,ba_1
553,,,EPI_ISL_8496768,,,hCoV-19/Scotland/QEUH-3098F25/2021,,ba_1
554,,,EPI_ISL_10488005,,,hCoV-19/England/NEWC-36F1BC6/2022,,ba_1
555,,,EPI_ISL_9063364,,,hCoV-19/England/MILK-330B142/2022,,ba_1
556,,,EPI_ISL_9177034,,,hCoV-19/England/BRBR-335357C/2022,,ba_1
557,,,EPI_ISL_10854577,,,hCoV-19/England/NEWC-38EF9A1/2022,,ba_1
558,,,EPI_ISL_9129530,,,hCoV-19/England/ALDP-333E0D0/2022,,ba_1
559,,,EPI_ISL_9785810,,,hCoV-19/Scotland/QEUH-355B141/2022,,ba_1
560,,,EPI_ISL_9252528,,,hCoV-19/England/PLYM-336E927/2022,,ba_1
561,,,EPI_ISL_8531970,,,hCoV-19/England/QEUH-3103BA8/2022,,ba_1
562,,,EPI_ISL_8087748,,,hCoV-19/England/BRBR-2F45F1C/2021,,ba_1
563,,,EPI_ISL_9682113,,,hCoV-19/England/LSPA-353FB45/2022,,ba_1
564,,,EPI_ISL_9165949,,,hCoV-19/Wales/PHWC-P8GSEP/2022,,ba_1
565,,,EPI_ISL_10632703,,,hCoV-19/England/PHEC-YYNA8R6/2022,,ba_1
566,,,EPI_ISL_7995156,,,hCoV-19/England/ALDP-2EC482A/2021,,ba_1
567,,,EPI_ISL_8763494,,,hCoV-19/Wales/PHWC-PGUJIF/2021,,ba_1
568,,,EPI_ISL_10376278,,,hCoV-19/England/DHSC-CYN3NI1/2022,,ba_1
569,,,EPI_ISL_10049599,,,hCoV-19/England/LSPA-3695CD0/2022,,ba_1
570,,,EPI_ISL_10456618,,,hCoV-19/England/DHSC-CYNGD4Q/2021,,ba_1
571,,,EPI_ISL_11223425,,,hCoV-19/England/PHEC-YYD8MBN/2022,,ba_1
572,,,EPI_ISL_8697504,,,hCoV-19/England/ALDP-316DC8B/2022,,ba_1
573,,,EPI_ISL_8772323,,,hCoV-19/England/MILK-31F59BE/2022,,ba_1
574,,,EPI_ISL_9610441,,,hCoV-19/England/NORW-3148DA7/2022,,ba_1
575,,,EPI_ISL_9508699,,,hCoV-19/Scotland/QEUH-346A69C/2022,,ba_1
576,,,EPI_ISL_10525818,,,hCoV-19/England/ALDP-3813968/2022,,ba_1
577,,,EPI_ISL_9297194,,,hCoV-19/England/MILK-33D91D4/2022,,ba_1
578,,,EPI_ISL_7723911,,,hCoV-19/Scotland/QEUH-2DD8842/2021,,ba_1
579,,,EPI_ISL_9777809,,,hCoV-19/England/MILK-3572214/2022,,ba_1
580,,,EPI_ISL_8570908,,,hCoV-19/England/MILK-311510B/2022,,ba_1
581,,,EPI_ISL_8962664,,,hCoV-19/England/LSPA-32B6156/2022,,ba_1
582,,,EPI_ISL_9398493,,,hCoV-19/Scotland/QEUH-3445EF9/2022,,ba_1
583,,,EPI_ISL_8943748,,,hCoV-19/England/QEUH-326B41B/2022,,ba_1
584,,,EPI_ISL_10001377,,,hCoV-19/England/QEUH-3632033/2022,,ba_1
585,,,EPI_ISL_8966421,,,hCoV-19/England/QEUH-3298521/2022,,ba_1
586,,,EPI_ISL_9997510,,,hCoV-19/England/QEUH-364E113/2022,,ba_1
587,,,EPI_ISL_9398523,,,hCoV-19/Scotland/QEUH-346578F/2022,,ba_1
588,,,EPI_ISL_8971209,,,hCoV-19/Scotland/QEUH-329B9D7/2022,,ba_1
589,,,EPI_ISL_10013587,,,hCoV-19/England/PHEC-YYNCFJX/2022,,ba_1
590,,,EPI_ISL_11341222,,,hCoV-19/England/ALDP-3AF58C7/2022,,ba_1
591,,,EPI_ISL_8522975,,,hCoV-19/England/MILK-30CA968/2022,,ba_1
592,,,EPI_ISL_8495067,,,hCoV-19/Scotland/QEUH-309E04A/2021,,ba_1
593,,,EPI_ISL_10520044,,,hCoV-19/England/LSPA-3839F4C/2022,,ba_1
594,,,EPI_ISL_7839521,,,hCoV-19/England/MILK-2E4FE9E/2021,,ba_1
595,,,EPI_ISL_8441983,,,hCoV-19/Scotland/QEUH-3079AA1/2021,,ba_1
596,,,EPI_ISL_9989508,,,hCoV-19/Scotland/QEUH-367B2A1/2022,,ba_1
597,,,EPI_ISL_10884415,,,hCoV-19/England/MILK-390BEEB/2022,,ba_1
598,,,EPI_ISL_10107141,,,hCoV-19/England/MILK-36A1B01/2022,,ba_1
599,,,EPI_ISL_11186228,,,hCoV-19/England/BRBR-3A72E75/2022,,ba_1
600,,,EPI_ISL_7634298,,,hCoV-19/England/MILK-2D912CF/2021,,ba_1
601,,,EPI_ISL_10450740,,,hCoV-19/England/DHSC-CYDSIJ7/2022,,ba_1
602,,,EPI_ISL_8999339,,,hCoV-19/Wales/PHWC-PG7OSE/2022,,ba_1
603,,,EPI_ISL_9901105,,,hCoV-19/Scotland/QEUH-35BE56E/2022,,ba_1
604,,,EPI_ISL_11946660,,,hCoV-19/England/DHSC-CYNIOP7/2022,,ba_1
605,,,EPI_ISL_8739006,,,hCoV-19/England/LSPA-31927E6/2022,,ba_1
606,,,EPI_ISL_10056811,,,hCoV-19/England/LSPA-3688F31/2022,,ba_1
